county,reporting_date,year,month,ipc_phase,ipc_class,class_name,share_crisis_plus,mean_phase,classified_share,spi1_recent,spi3_recent,spi6_recent,spi3_prior,vci_recent,vci_prior1,vci_prior2,vci_trend,season,mean_annual_rain_mm,previous_class,months_since_previous,lead_months,split,is_study_county
Embu,2023-02-01,2023,2,2,2,Stressed,0.000545352691336,1.6682175813166242,0.9999846730684444,-0.1348638695689364,-0.1008022506880022,-0.5510658648195744,-0.4984471515814984,44.72725320335959,80.2629309157212,45.98573502002554,-1.2584818166659488,dry_jf,401.4457023614595,2.0,4.0,1,test,False
Garissa,2023-02-01,2023,2,3,3,Crisis or worse,0.9999999973761992,2.9999999973761997,0.9994639763046206,-0.2708294101105297,-0.2945629503471187,-0.5755440407479034,-0.2811273334104819,24.49433613241345,24.65236776589497,13.686564410924646,10.807771721488805,dry_jf,210.6771075185111,3.0,4.0,1,test,False
Homa Bay,2023-02-01,2023,2,1,1,Minimal,0.0,1.0,0.6628357436647451,-1.3992796247249624,1.1718665442879956,1.4800787582008128,0.7201891752427595,57.84156711403011,62.98656750309837,26.75375495700335,31.087812157026764,dry_jf,658.3122810444571,1.0,4.0,1,test,False
Isiolo,2023-02-01,2023,2,3,3,Crisis or worse,0.9996205631696322,2.999619416475716,0.999994115423234,-0.0244035209193798,-0.0454881740811849,-0.3314545547969587,-0.3465260097239419,5.782751947300037,3.460401886379855,-7.798942621229642,13.581694568529679,dry_jf,121.15801476654195,3.0,4.0,1,test,False
Kajiado,2023-02-01,2023,2,2,2,Stressed,0.0007334443470187,1.999395395287236,0.9866574869141682,-0.7065038513940956,-0.4162994580126923,-0.5236005714217307,0.0093894263427961,16.775130863971693,19.513281925298227,0.5102815566811734,16.26484930729052,dry_jf,244.0590119973267,2.0,4.0,1,test,False
Kakamega,2023-02-01,2023,2,1,1,Minimal,0.0,1.0,0.9998432712295532,-2.299639938921562,1.1700090800678031,2.35413403323026,0.992069929257264,64.6635646454052,71.48775391572843,34.07971963645391,30.583845008951293,dry_jf,521.962946970816,1.0,4.0,1,test,False
Kericho,2023-02-01,2023,2,1,1,Minimal,0.0,1.0,0.9999526229648772,-2.017907853766154,1.4907959647435818,2.6633048384335734,2.4941863588555826,58.57774828869672,67.80240987226692,35.97716543175312,22.600582856943596,dry_jf,577.6437811642602,1.0,4.0,1,test,False
Kiambu,2023-02-01,2023,2,1,1,Minimal,0.0,1.001036389650512,0.9998318358451644,-0.2630541132370798,-0.1806810820132456,-0.504695509214847,0.1534813333094808,37.7203454251784,36.22126823726104,-23.876574309100707,61.59691973427911,dry_jf,365.1581675938478,1.0,4.0,1,test,False
Kilifi,2023-02-01,2023,2,2,2,Stressed,0.0026957456765993,2.0026338916386948,0.994192824514285,-0.3000314467036751,-0.4556254889767375,-0.908150403271284,-0.6807360253811306,4.181301118846454,-3.2469927826878062,16.13597137234763,-11.954670253501176,dry_jf,485.9236308469297,2.0,4.0,1,test,False
Kirinyaga,2023-02-01,2023,2,1,1,Minimal,0.0,1.000297291880471,0.9999074216214416,0.0355557259398534,0.3398105080014927,-0.2511480785911806,-0.1691280543007513,56.72114501342908,100.24913862148354,13.197175165260283,43.5239698481688,dry_jf,523.427425427593,1.0,4.0,1,test,False
Kisii,2023-02-01,2023,2,1,1,Minimal,0.0,1.0,0.9995821721572732,-1.5369940633876285,1.33378661825679,1.870180030365025,1.0930526713171165,85.64544519587082,85.98129256107221,23.73321640123461,61.912228794636206,dry_jf,771.8724273402603,1.0,4.0,1,test,False
