county,year,month,ndvi,n_composites,date
Baringo,2023,4,0.5603236160112353,3,2023-04-01
Baringo,2023,5,0.6127123432645656,4,2023-05-01
Baringo,2023,6,0.5315575437327307,4,2023-06-01
Baringo,2023,7,0.49911621601161693,4,2023-07-01
Baringo,2023,8,0.4865148309536717,4,2023-08-01
Baringo,2023,9,0.49429372416860207,4,2023-09-01
Baringo,2023,10,0.4981622394114825,2,2023-10-01
Baringo,2023,11,0.5505636001095955,4,2023-11-01
Baringo,2023,12,0.517672168105264,4,2023-12-01
Baringo,2024,1,0.46132678861429727,4,2024-01-01
Baringo,2024,2,0.4275697130940697,4,2024-02-01
Baringo,2024,3,0.41873860055851936,4,2024-03-01
Baringo,2024,4,0.5890247794642204,4,2024-04-01
Baringo,2024,5,0.6722240442607017,3,2024-05-01
Baringo,2024,6,0.6187743340014265,4,2024-06-01
Baringo,2024,7,0.6043686194924088,4,2024-07-01
Baringo,2024,8,0.6713297082341919,3,2024-08-01
Baringo,2024,9,0.6305467829827544,4,2024-09-01
Baringo,2024,10,0.5458167120408008,4,2024-10-01
Baringo,2024,11,0.5425783672749845,3,2024-11-01
Baringo,2024,12,0.5645982004081156,3,2024-12-01
Baringo,2025,1,0.48441856909740444,4,2025-01-01
Baringo,2025,2,0.4141123331823142,4,2025-02-01
Baringo,2025,3,0.5107964509000701,4,2025-03-01
Baringo,2025,4,0.6554350124148821,3,2025-04-01
Baringo,2025,5,0.6480713034450645,4,2025-05-01
Baringo,2025,6,0.5973108816347401,4,2025-06-01
Baringo,2025,11,0.5670996164908925,1,2025-11-01
Baringo,2025,12,0.5403067080001549,2,2025-12-01
Baringo,2026,1,0.4674993895670159,3,2026-01-01
Baringo,2026,2,0.4780800667328616,3,2026-02-01
Baringo,2026,3,0.6688323202705428,2,2026-03-01
Baringo,2026,4,0.6205304683873804,2,2026-04-01
Baringo,2026,5,0.6762485546310901,2,2026-05-01
Baringo,2026,7,0.5065874004251968,3,2026-07-01
Baringo,2026,8,0.5041327156549529,1,2026-08-01
Bomet,2000,12,0.7789224403927064,1,2000-12-01
Bomet,2001,1,0.7651165497896213,2,2001-01-01
Bomet,2001,2,0.757855960729313,2,2001-02-01
Bomet,2001,3,0.7370866760168304,2,2001-03-01
Bomet,2001,4,0.7888780504908837,2,2001-04-01
Bomet,2001,5,0.7703396213183737,2,2001-05-01
Bomet,2001,6,0.6370807854137446,2,2001-06-01
Bomet,2001,7,0.6990829593267881,2,2001-07-01
Bomet,2001,8,0.6832144460028056,2,2001-08-01
Bomet,2001,9,0.6923711079943898,2,2001-09-01
Bomet,2001,10,0.6399719495091157,1,2001-10-01
Bomet,2001,11,0.7332302945301545,2,2001-11-01
Bomet,2001,12,0.7190013323983169,2,2001-12-01
Bomet,2002,1,0.7194018934081349,2,2002-01-01
Bomet,2002,2,0.7063193548387093,2,2002-02-01
Bomet,2002,3,0.7248880785413743,2,2002-03-01
Bomet,2002,4,0.7696195652173907,2,2002-04-01
Bomet,2002,5,0.7827369565217395,2,2002-05-01
Bomet,2002,6,0.7238794530154273,2,2002-06-01
Bomet,2002,7,0.6815927419354839,4,2002-07-01
Bomet,2002,8,0.6659038569424967,4,2002-08-01
Bomet,2002,9,0.5865310659186542,4,2002-09-01
Bomet,2002,10,0.5451602150537634,3,2002-10-01
Bomet,2002,11,0.6444968443197758,4,2002-11-01
Bomet,2002,12,0.689329803646564,4,2002-12-01
Bomet,2003,1,0.7492961079943901,4,2003-01-01
Bomet,2003,2,0.6786457573632534,4,2003-02-01
Bomet,2003,3,0.6400912692847127,4,2003-03-01
Bomet,2003,4,0.651799345488546,3,2003-04-01
Bomet,2003,5,0.7381776647966339,4,2003-05-01
Bomet,2003,6,0.7171008765778404,4,2003-06-01
Bomet,2003,7,0.6686997545582047,4,2003-07-01
Bomet,2003,8,0.6604361500701263,4,2003-08-01
Bomet,2003,9,0.641574824684432,4,2003-09-01
Bomet,2003,10,0.6339779803646567,3,2003-10-01
Bomet,2003,11,0.6496504207573632,4,2003-11-01
Bomet,2003,12,0.681001157082749,4,2003-12-01
Bomet,2004,1,0.6383545231416553,4,2004-01-01
Bomet,2004,2,0.6715709677419356,4,2004-02-01
Bomet,2004,3,0.7407010518934084,4,2004-03-01
Bomet,2004,4,0.7685790673211783,4,2004-04-01
Bomet,2004,5,0.7713805516596546,3,2004-05-01
Bomet,2004,6,0.7048048387096771,4,2004-06-01
Bomet,2004,7,0.6366269985974755,4,2004-07-01
Bomet,2004,8,0.6437883590462831,4,2004-08-01
Bomet,2004,9,0.6553845371669007,4,2004-09-01
Bomet,2004,10,0.6089262622720895,4,2004-10-01
Bomet,2004,11,0.6275445067788685,3,2004-11-01
Bomet,2004,12,0.7323825035063113,4,2004-12-01
Bomet,2005,1,0.6975601332398317,4,2005-01-01
Bomet,2005,2,0.6561246143057506,4,2005-02-01
Bomet,2005,3,0.7173333800841515,4,2005-03-01
Bomet,2005,4,0.75928316970547,3,2005-04-01
Bomet,2005,5,0.7055138148667602,4,2005-05-01
Bomet,2005,6,0.6832972300140248,4,2005-06-01
Bomet,2005,7,0.6941514025245443,4,2005-07-01
Bomet,2005,8,0.6820460028050488,4,2005-08-01
Bomet,2005,9,0.6776687938288922,4,2005-09-01
Bomet,2005,10,0.6016328190743341,3,2005-10-01
Bomet,2005,11,0.6354730014025247,4,2005-11-01
Bomet,2005,12,0.5901070476858343,4,2005-12-01
Bomet,2006,1,0.5780201262272089,4,2006-01-01
Bomet,2006,2,0.544067917251052,4,2006-02-01
Bomet,2006,3,0.6709463534361855,4,2006-03-01
Bomet,2006,4,0.7786853202431039,3,2006-04-01
Bomet,2006,5,0.6901359396914444,4,2006-05-01
Bomet,2006,6,0.7071506661991581,4,2006-06-01
Bomet,2006,7,0.6757529453015427,4,2006-07-01
Bomet,2006,8,0.6391289270687233,4,2006-08-01
Bomet,2006,9,0.6002996844319775,4,2006-09-01
Bomet,2006,10,0.5738928471248247,3,2006-10-01
Bomet,2006,11,0.6613106241234226,4,2006-11-01
Bomet,2006,12,0.7336920757363254,4,2006-12-01
Bomet,2007,1,0.7812679172510518,4,2007-01-01
Bomet,2007,2,0.7563724053295935,4,2007-02-01
Bomet,2007,3,0.7132017882187933,4,2007-03-01
Bomet,2007,4,0.7694005610098181,3,2007-04-01
Bomet,2007,5,0.7582242286115006,4,2007-05-01
Bomet,2007,6,0.7214155680224406,4,2007-06-01
Bomet,2007,7,0.651726227208976,4,2007-07-01
Bomet,2007,8,0.6606479663394111,4,2007-08-01
Bomet,2007,9,0.6976145862552594,4,2007-09-01
Bomet,2007,10,0.6270716690042079,3,2007-10-01
Bomet,2007,11,0.5847970196353439,4,2007-11-01
Bomet,2007,12,0.683570687237027,4,2007-12-01
Bomet,2008,1,0.643602244039271,4,2008-01-01
Bomet,2008,2,0.6351662692847128,4,2008-02-01
Bomet,2008,3,0.6334394109396918,4,2008-03-01
Bomet,2008,4,0.7188203015427772,4,2008-04-01
Bomet,2008,5,0.7258151005142593,3,2008-05-01
Bomet,2008,6,0.6664588359046288,4,2008-06-01
Bomet,2008,7,0.6281556802244044,4,2008-07-01
Bomet,2008,8,0.6682313113604488,4,2008-08-01
Bomet,2008,9,0.6614469495091165,4,2008-09-01
Bomet,2008,10,0.6856020336605888,4,2008-10-01
Bomet,2008,11,0.7210544179523143,3,2008-11-01
Bomet,2008,12,0.6786124474053299,4,2008-12-01
Bomet,2009,1,0.5969598527349228,4,2009-01-01
Bomet,2009,2,0.6636986325385696,4,2009-02-01
Bomet,2009,3,0.6471619214586254,4,2009-03-01
Bomet,2009,4,0.6783488078541374,3,2009-04-01
Bomet,2009,5,0.7044454067321179,4,2009-05-01
Bomet,2009,6,0.7339334852734924,4,2009-06-01
Bomet,2009,7,0.6424918302945302,4,2009-07-01
Bomet,2009,8,0.6126564866760172,4,2009-08-01
Bomet,2009,9,0.6215071879382891,4,2009-09-01
Bomet,2009,10,0.6155198690977094,3,2009-10-01
Bomet,2009,11,0.6629792776998594,4,2009-11-01
Bomet,2009,12,0.7008433029453015,4,2009-12-01
Bomet,2010,1,0.7459837657784009,4,2010-01-01
Bomet,2010,2,0.7441112552594666,4,2010-02-01
Bomet,2010,3,0.7560993338008413,4,2010-03-01
Bomet,2010,4,0.7689188405797096,3,2010-04-01
Bomet,2010,5,0.749271633941094,4,2010-05-01
Bomet,2010,6,0.715141409537167,4,2010-06-01
Bomet,2010,7,0.6553311009817667,4,2010-07-01
Bomet,2010,8,0.604636886395512,4,2010-08-01
Bomet,2010,9,0.6171646914446005,4,2010-09-01
Bomet,2010,10,0.6351810191678355,3,2010-10-01
Bomet,2010,11,0.7241241935483873,4,2010-11-01
Bomet,2010,12,0.7325803295932678,4,2010-12-01
Bomet,2011,1,0.7059625876577842,4,2011-01-01
Bomet,2011,2,0.6565038218793829,4,2011-02-01
Bomet,2011,3,0.6621332748948104,4,2011-03-01
Bomet,2011,4,0.7123312762973347,3,2011-04-01
Bomet,2011,5,0.7320224403927071,4,2011-05-01
Bomet,2011,6,0.7085528401122021,4,2011-06-01
Bomet,2011,7,0.6892116058906035,4,2011-07-01
Bomet,2011,8,0.6932890252454412,4,2011-08-01
Bomet,2011,9,0.6399423211781208,4,2011-09-01
Bomet,2011,10,0.6963211313697991,3,2011-10-01
Bomet,2011,11,0.730078295932679,4,2011-11-01
Bomet,2011,12,0.7567339060308552,4,2011-12-01
Bomet,2012,1,0.6826324684431978,4,2012-01-01
Bomet,2012,2,0.599708274894811,4,2012-02-01
Bomet,2012,3,0.6242082748948105,4,2012-03-01
Bomet,2012,4,0.6701486676016833,4,2012-04-01
Bomet,2012,5,0.7762834502103783,3,2012-05-01
Bomet,2012,6,0.7019125525946704,4,2012-06-01
Bomet,2012,7,0.6869408134642359,4,2012-07-01
Bomet,2012,8,0.6919903225806452,4,2012-08-01
Bomet,2012,9,0.6922063464235624,4,2012-09-01
Bomet,2012,10,0.608566199158485,4,2012-10-01
Bomet,2012,11,0.7113928003740065,3,2012-11-01
Bomet,2012,12,0.704429838709678,4,2012-12-01
Bomet,2013,1,0.735727945301543,4,2013-01-01
Bomet,2013,2,0.7275549088359048,4,2013-02-01
Bomet,2013,3,0.6894268583450212,4,2013-03-01
Bomet,2013,4,0.7698746610565689,3,2013-04-01
Bomet,2013,5,0.7643071879382887,4,2013-05-01
