date,year,month,county,rainfall_mm
1997-10-01,1997,10,Baringo,51.063780818230065
1997-11-01,1997,11,Baringo,76.82540912505908
1997-12-01,1997,12,Baringo,25.263060996471307
1998-01-01,1998,1,Baringo,39.24943488194392
1998-02-01,1998,2,Baringo,28.420834800524588
1998-03-01,1998,3,Baringo,13.06300849425487
1998-04-01,1998,4,Baringo,38.48104263207851
1998-05-01,1998,5,Baringo,74.5118363893949
1998-06-01,1998,6,Baringo,49.08152105869391
1998-07-01,1998,7,Baringo,51.384709710341234
1998-08-01,1998,8,Baringo,52.63901408757919
1998-09-01,1998,9,Baringo,20.304021204434907
1998-10-01,1998,10,Baringo,31.618034321528214
1998-11-01,1998,11,Baringo,21.94518019174918
1998-12-01,1998,12,Baringo,5.3321427883246
1999-01-01,1999,1,Baringo,6.513715934753418
1999-02-01,1999,2,Baringo,2.443263986477485
1999-03-01,1999,3,Baringo,57.88628962590144
1999-04-01,1999,4,Baringo,39.78070551065298
1999-05-01,1999,5,Baringo,21.933449975038187
1999-06-01,1999,6,Baringo,25.345992477123556
1999-07-01,1999,7,Baringo,50.67279122181428
1999-08-01,1999,8,Baringo,42.88055935639601
1999-09-01,1999,9,Baringo,11.125124074251223
1999-10-01,1999,10,Baringo,30.078469175253158
1999-11-01,1999,11,Baringo,23.001831933779595
1999-12-01,1999,12,Baringo,18.37729403055631
2000-01-01,2000,1,Baringo,3.9619528238589945
2000-02-01,2000,2,Baringo,2.5792097024428537
2000-03-01,2000,3,Baringo,9.324169383904874
2000-04-01,2000,4,Baringo,14.54359040015783
2000-05-01,2000,5,Baringo,31.90372502009074
2000-06-01,2000,6,Baringo,29.560197221315825
2000-07-01,2000,7,Baringo,46.85651995340983
2000-08-01,2000,8,Baringo,66.88202245663373
2000-09-01,2000,9,Baringo,17.837166255559676
2000-10-01,2000,10,Baringo,31.2385521007654
2000-11-01,2000,11,Baringo,35.16549397920951
2000-12-01,2000,12,Baringo,15.31469351695134
2001-01-01,2001,1,Baringo,22.99273001352946
2001-02-01,2001,2,Baringo,4.252619852469517
2001-03-01,2001,3,Baringo,50.325709660847984
2001-04-01,2001,4,Baringo,68.91122700617863
2001-05-01,2001,5,Baringo,30.822346190917187
2001-06-01,2001,6,Baringo,54.067910835070485
2001-07-01,2001,7,Baringo,52.55535493997427
2001-08-01,2001,8,Baringo,61.3165825183575
2001-09-01,2001,9,Baringo,19.352899207824315
2001-10-01,2001,10,Baringo,34.71701209575702
2001-11-01,2001,11,Baringo,48.256780595045825
2001-12-01,2001,12,Baringo,8.38364792114649
2002-01-01,2002,1,Baringo,15.831270758310954
2002-02-01,2002,2,Baringo,4.083398345800546
2002-03-01,2002,3,Baringo,45.82934101789426
2002-04-01,2002,4,Baringo,46.49382179455879
2002-05-01,2002,5,Baringo,69.4012439972315
2002-06-01,2002,6,Baringo,30.773607633052727
2002-07-01,2002,7,Baringo,29.3618532425318
2002-08-01,2002,8,Baringo,45.09499738644331
2002-09-01,2002,9,Baringo,8.58798684340257
2002-10-01,2002,10,Baringo,31.80013921398383
2002-11-01,2002,11,Baringo,24.097589136392642
2002-12-01,2002,12,Baringo,54.87072307391045
2003-01-01,2003,1,Baringo,8.563707464780563
2003-02-01,2003,2,Baringo,3.9659926457282824
2003-03-01,2003,3,Baringo,31.359666110307742
2003-04-01,2003,4,Baringo,69.70016070634891
2003-05-01,2003,5,Baringo,98.33080766139886
2003-06-01,2003,6,Baringo,35.33884384937775
2003-07-01,2003,7,Baringo,48.909557278951006
