date,year,month,county,rainfall_mm,clim_mean,clim_sd,rain_anom,rain_3m_mm,rain_anom_3m
2024-12-01,2024,12,Baringo,6.533936446752303,19.51664463727902,15.045790664753511,-0.8628797568571918,96.7086639171992,0.5681395080989552
1981-01-01,1981,1,Marsabit,2.850287950353699,7.412837777982669,6.03866144059599,-0.755556487561367,,
1981-02-01,1981,2,Marsabit,6.713201228731946,6.706810904678786,5.673996073827667,0.0011262475281991302,,
1981-03-01,1981,3,Marsabit,64.96181522636545,23.203591365325146,12.97433259152085,3.218525775139344,74.5253044054511,2.1629495869568647
1981-04-01,1981,4,Marsabit,112.84049259715732,54.51946926993243,25.650771164570358,2.273655749101988,184.5155090522547,2.9317248646769656
1981-05-01,1981,5,Marsabit,20.58753045794611,16.710665811542984,9.393937122555583,0.4126985944045194,198.38983828146888,3.006643279676149
1981-06-01,1981,6,Marsabit,2.145451201682666,2.5968931762705103,1.2664059323482955,-0.3564749367138037,135.57347425678608,2.227419482407437
1981-07-01,1981,7,Marsabit,3.005531866803449,4.124076502813582,1.7701647547629409,-0.6318873048401238,25.738513526432225,0.23531405124086857
1981-08-01,1981,8,Marsabit,2.613486452449461,2.753108869421634,0.8660859968998192,-0.16121080062713813,7.764469520935576,-0.564741676319981
1981-09-01,1981,9,Marsabit,1.3935866508336758,1.4370297863708184,0.42150869473642155,-0.10306581116745041,7.012604970086585,-0.5415724546971001
1981-10-01,1981,10,Marsabit,15.970464433799792,19.877977035264493,12.924539996488503,-0.30233281822999825,19.97753753708293,-0.3095582343692932
1981-11-01,1981,11,Marsabit,10.535324856498622,26.251281912796717,18.121614955305276,-0.8672492542778092,27.899375941132092,-0.664049526669397
1981-12-01,1981,12,Marsabit,9.649359170057467,17.5191038726857,14.35324411564074,-0.548290312574881,36.15514846035588,-0.7217542997442853
1982-01-01,1982,1,Marsabit,4.545538161132146,7.412837777982669,6.03866144059599,-0.4748237080447306,24.730222187688238,-0.8819389722335904
1982-02-01,1982,2,Marsabit,5.597405385560474,6.706810904678786,5.673996073827667,-0.19552454825191812,19.792302716750086,-0.6161337154411954
1982-03-01,1982,3,Marsabit,16.713059610614273,23.203591365325146,12.97433259152085,-0.5002593936086275,26.856003157306894,-0.6085712204498311
1982-04-01,1982,4,Marsabit,78.96689018486015,54.51946926993243,25.650771164570358,0.953087170677163,101.27735518103489,0.49349924650045673
1982-05-01,1982,5,Marsabit,26.78326614716023,16.710665811542984,9.393937122555583,1.0722448111167509,122.46321594263465,0.8106755316073486
1982-06-01,1982,6,Marsabit,2.021353629957287,2.5968931762705103,1.2664059323482955,-0.45446687480845943,107.77150996197767,1.2245012428634985
1982-07-01,1982,7,Marsabit,3.0183288120195138,4.124076502813582,1.7701647547629409,-0.624658065199219,31.82294858913703,0.8559593744416448
1982-08-01,1982,8,Marsabit,2.248213782605266,2.753108869421634,0.8660859968998192,-0.5829618405373771,7.287896224582067,-0.7221699525701047
1982-09-01,1982,9,Marsabit,1.2162932067657068,1.4370297863708184,0.42150869473642155,-0.5236821502416287,6.482835801390486,-0.7619981947874871
1982-10-01,1982,10,Marsabit,45.45754147285572,19.877977035264493,12.924539996488503,1.979146990495677,48.9220484622267,1.880844041153917
1982-11-01,1982,11,Marsabit,41.22913921456934,26.251281912796717,18.121614955305276,0.8265189023557588,87.90297389419077,1.3619604138823203
1982-12-01,1982,12,Marsabit,26.49080959455838,17.5191038726857,14.35324411564074,0.6250646647956197,113.17749028198345,1.300243043215475
1983-01-01,1983,1,Marsabit,3.7468546381774095,7.412837777982669,6.03866144059599,-0.6070853906728446,71.46680344730513,0.6140927739122717
1983-02-01,1983,2,Marsabit,10.785840024630591,6.706810904678786,5.673996073827667,0.718898826660643,41.02350425736638,0.4353226420952238
1983-03-01,1983,3,Marsabit,5.1943232197986,23.203591365325146,12.97433259152085,-1.388068944470885,19.727017882606603,-1.0230545568359921
1983-04-01,1983,4,Marsabit,42.06166661565805,54.51946926993243,25.650771164570358,-0.4856697123976329,58.04182986008724,-0.7729628330880561
1983-05-01,1983,5,Marsabit,13.676310989640474,16.710665811542984,9.393937122555583,-0.3230120430140826,60.932300825097116,-0.9689361638040188
1983-06-01,1983,6,Marsabit,2.197728758945168,2.5968931762705103,1.2664059323482955,-0.3151946837339682,57.93570636424369,-0.5732579327293588
1983-07-01,1983,7,Marsabit,4.625243868736576,4.124076502813582,1.7701647547629409,0.28311905124905157,20.49928361732222,-0.29911576956442143
1983-08-01,1983,8,Marsabit,4.787021693861821,2.753108869421634,0.8660859968998192,2.3483959234078817,11.609994321543565,0.7055652109290097
1983-09-01,1983,9,Marsabit,1.8595640635614672,1.4370297863708184,0.42150869473642155,1.002433122891732,11.271829626159866,1.2306007907503753
1983-10-01,1983,10,Marsabit,9.181841217773515,19.877977035264493,12.924539996488503,-0.8275834823055238,15.828426975196804,-0.6235459621169375
